authors,type,title,study_year,family,genus,species,TRX_mass_as_reported,mean_snake_mass_as_reported,snake_mass_external_sources,combined_mass_data,mean_snake_SVL_as_reported,snake_SVL_external_sources,combined_SVL_data,TRX_ratio_as_reported,TRX_ratio_derived,combined_TRX_ratio,sample_size,radio,GPS,glue_only,tape_only,glue_and_tape,subdermal_stitch,anterior_third_placement,posterior_third_placement,tail_placement,rattle_placement,dorsal_placement,ventral_placement,effects_specified,adverse_effects,injuries,behavioral_effects,lethal_effects,adverse_effects_notes,avg_number_fixes,duration_mean,duration_SD,duration_range_lower,duration_range_upper
Jackson,Thesis,Home range size and habitat use of the Eastern Indigo Snake (Drymarchon couperi) at a disturbed agricultural site in south Florida,2013,Colubridae,Drymarchon,couperi,,,40,40,,35,35,,,,1,1,0,,,,,,,,,,,0,,0,,,None reported,14,,,,
Jellen and Kowalski,Paper,Movement and Growth of Neonate Eastern Massasaugas (Sistrurus catenatus),2007,Viperidae,Sistrurus,catenatus,0.9,9.6,,9.6,,15.5,15.5,0.12,0.09375,0.12,16,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,1,Transmitter begame entangled in vegetation and killed 1 neonate. ,17.9,29,,2,56
Jungen et al.,Paper,Monitoring Eastern Diamondback Rattlesnakes Using a Novel External Radio-Transmitter Attachment Method,2019,Viperidae,Crotalus,horridus,2,,926.6666667,926.6666667,,99.2,99.2,< 1%,,0.002158273,49,1,0,0,0,0,0,0,0,1,1,,,1,0,0,0,0,Vegetation entanglement; Snakes dropped their transmitters when the transmitter got caught in thick vegetation and pulled the rattle off. ,,189,78,28,36
Lonsdale,Thesis,"Snake Community Ecology And Conservation In Cusuco National Park, Honduras",2022,Viperidae,Bothriechis,marchi,1.8,84.2,,84.2,58.9,,,0.021,0.021377672,0.021377672,5,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,Affected movement through vegetation; arboreal movements slightly disrupted,,18.8,15.15,5,44
Lonsdale,Thesis,"Snake Community Ecology And Conservation In Cusuco National Park, Honduras",2022,Viperidae,Atropoides,mexicanus,1.8,,,,,65,65,,,,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,Affected movement through vegetation; arboreal movements slightly disrupted,,11,,11,11
Lonsdale,Thesis,"Snake Community Ecology And Conservation In Cusuco National Park, Honduras",2022,Viperidae,Cerrophidion,wilsoni,1.8,,,,,,,,,,2,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,Affected movement through vegetation; arboreal movements slightly disrupted,,1.75,1.75,0.5,3
Madrid-Sotelo et al.,Paper,A simple method for externally attaching radio-transmitters to snakes,2008,Colubridae,Oxybelis,aeneus,3,,120,120,,70,70,,,0.025,8,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,None reported,,48.3,18.2,,
Murphy et al.,Paper,Overwintering Habitat Selection Of the eastern Diamondback rattlesnake (Crotalus adamanteus) in tHe longleaf Pine Ecosystem,2021,Viperidae,Crotalus,adamanteus,3.4,972,,972,102.9,,102.9,< 1%,0.003497942,0.003497942,14,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,None reported,,,,,
Muscat,Paper,"Natural History of the large pit viper Bothrops jararacussu: Habitat use, movement patterns, and home range",2021,Viperidae,Bothrops,jararacussu,,1333,,1333,,119,119,,,0.001950488,4,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,None reported,,,,,
Nafus et al.,Paper,"Behavior, size, and body condition predict susceptibility to management and reflect post-treatment frequency shifts in an invasive snake",2019,Colubridae,Boiga ,irregularis,,,361,361,,123,123,< 5%,,,31,1,0,0,0,1,0,0,0,1,0,1,0,,0,0,0,0,None reported,,,,,
Nash et al.,Paper,Ranging behaviour of adders (Vipera berus) translocated from a development site,2018,Viperidae,Vipera,berus,1.1,,95,95,,48.4,48.4,,,0.011578947,14,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,None reported,23.4,10,,,
Park et al.,Paper,A field evaluation of two external transmitter attachment methods for small snakes,2022,Colubridae,Orientocoluber,spinalis,1.1,,42.1,42.1,,53.3,53.3,2.7,0.027,0.026,4,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,"Injuries and death; 3 out of 4 were injured and tracking had to be terminated. Transmitters got stuck in rock crevices. Authors suggest technique not suitable for species that use narrow rock crevices as shelters or corridors. The nylon thread, which is strongly pulling backward, may have been responsible for the injury of one of the snakes.",9.25,8.25,5.377421935,3,15
Park et al.,Paper,A field evaluation of two external transmitter attachment methods for small snakes,2022,Colubridae,Orientocoluber,spinalis,1.1,,42.1,42.1,,53.3,53.3,3.1,0.031,0.031,5,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,None reported,19.4,11,4,7,15
Pettersson,Thesis,Movement pattern and habitat use of female grass snake (Natrix natrix) in a semi-urban environment,2014,Colubridae,Natrix,natrix,4,,69.85,69.85,,60,60,< 5%,,0.057265569,6,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,0,"On occasion, the snakes got stuck in denser parts of the vegetated areas but they were able to get loose with little problem. Movement was limited around the package as they could not bend this part as well but this stiffness seemed to disappear after a few days in the field. One problem experienced with this attachment was that it led to smaller abrasive wounds anterior of the package. ",,14.5,,4,25
Riley et al.,Paper,A Comparison of Three External Transmitter Attachment Methods for Snakes,2017,Viperidae,Sistrurus,catenatus,1.2,,265,265,,61.7,61.7,< 1.2,,0.004528302,4,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,None reported,,31,6.4,23,44
Riley et al.,Paper,A Comparison of Three External Transmitter Attachment Methods for Snakes,2017,Viperidae,Sistrurus,catenatus,1.2,,265,265,,61.7,61.7,< 1.2,,0.004528302,19,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,0,"Injuries; scale loss, bleeding at attachment site, malformed scales; packages got caught on vegetation",,59,9,3,153
Riley et al.,Paper,A Comparison of Three External Transmitter Attachment Methods for Snakes,2017,Viperidae,Sistrurus,catenatus,1.2,,265,265,,61.7,61.7,< 1.2,,0.004528302,8,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,Injuries reported,,18,4,2,32
Robinson et al.,Paper,Assessment of Two External Transmitter Attachment Methods for Boiga irregularis (Brown Treesnakes),2018,Colubridae,Boiga ,irregularis,3,360.9,,360.9,123,,123,,0.008312552,0.008312552,8,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,Injuries reported,,30.625,15.08961327,13,62
Robinson et al.,Paper,Assessment of Two External Transmitter Attachment Methods for Boiga irregularis (Brown Treesnakes),2018,Colubridae,Boiga ,irregularis,3,360.9,,360.9,123,,123,,0.008312552,0.008312552,7,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,None reported,,15.14285714,8.989411761,3,31
Sacerdote-Velat,Paper,Evaluation of headstarting and release techniques for population augmentation and reintroduction of the smooth green snake,2014,Colubridae,Opheodrys,vernalis,0.31,,10,10,,22.3,22.3,,,0.031,15,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,None reported,,,,,
Smith et al. ,Paper,A Field Evaluation of Two External Attachment Locations of Radio Transmitters on Non-Venomous Rat Snakes (Elaphe obsoleta),2017,Colubridae,Pantherophis,obsoleta,,,525,525,,120,120,,,,10,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,None reported,,11.7,2.4,6,17
Sprague,Thesis,"Microhabitat and Movement Assessment for Northern Mexican Gartersnakes (Thamnophis eques megalops) at Bubbling Ponds Hatchery, Arizona",2017,Colubridae,Thamnophis,eques megalops,1.8,158,,158,65.3,,65.3,< 5%,0.011392405,0.011392405,20,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,None reported,3.7,27.75,,3,156
Thompson,Thesis,Toward accelerometer recording of pit viper foraging behavior in nature: validation and case study with timber rattlesnakes (Crotalus horridus),2023,Viperidae,Crotalus,horridus,5,,926.6666667,926.6666667,108.1,,108.1,,,0.005395683,16,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,None reported,1.25,4.7,10.5,0,32
Tozzeti and Martins,Paper,Daily and seasonal activity patterns of free range South-American rattlesnake (Crotalus durissus),2013,Viperidae,Crotalus,durissus,9,,1497,1497,,131.5,131.5,< 5%,,0.006012024,20,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,None reported,9.5,64.9,,,
Tozzeti and Martins,Paper,A technique for external radio-transmitter attachment and the use of thread-bobbins for studying snake movements ,2007,Viperidae,Crotalus,durissus,9,,1497,1497,,131.5,131.5,< 5%,,0.006012024,15,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,None reported,,69.2,67.6,,
Wolfe et al.,Paper,Impacts of translocation on a large urban-adapted venomous snake,2018,Elapidae,Pseudonaja,affinis,14,671,,671,,133.5,133.5,0.021,0.020864382,0.020864382,10,1,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,Minor skin abrasion,11.5,16,13.11487705,4,30
Wylie et al.,Paper,A taping method for external transmitter Attachment on Aquatic Snakes,2011,Colubridae,Thamnophis,gigas,1.3,369,,369,,65,65,,0.003523035,0.003523035,47,1,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,0,"Minor tail injuries, vegetation entrapment",,11.1,,1,31.9
Wylie et al.,Paper,A taping method for external transmitter Attachment on Aquatic Snakes,2011,Colubridae,Thamnophis,gigas,1.3,304,,304,,65,65,,0.004276316,0.004276316,28,1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,Superficial scarring,,22.9,,0.2,88
Yannuzzi,Report,Eastern Milksnake Monitoring in Rouge Park: 2014 Report,2014,Colubridae,Lampropeltus,triangulum,,,186,,,90,90,,,,4,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,None reported,,,,,
Zdenek et al.,Paper,Recommendations for using the subdermal stitch method to attach external transmitters on snakes,2021,Elapidae,Acanthophis,antarcticus,1.5,63.38,,63.38,35.1,,35.1,0.024,0.023666772,0.023666772,5,1,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,1,"Injuries and death. 4 snakes injured, 1 killed.  Entanglement in vegetation killed 1 snake.  Scale abrasions, ""divot wound"", and tail constriction reported. Stuck shed reported in all snakes. ",,20.8,11.71324037,47.6,82
